,Country,Sector,Industry,Length_of_Business_Summary,Currency
FBNC,United States,Financial Services,Banks—Regional,1327,USD
AEYE,United States,Technology,Software—Application,1402,USD
LNT,United States,Utilities,Utilities—Regulated Electric,1699,USD
AVT,United States,Technology,Electronics & Computer Distribution,1678,USD
GDRX,United States,Healthcare,Health Information Services,774,USD
CERE,United States,Healthcare,Biotechnology,1243,USD
XENE,Canada,Healthcare,Biotechnology,803,USD
BGRY,,,,0,
ARCB,United States,Industrials,Trucking,1843,USD
SMBC,United States,Financial Services,Banks—Regional,826,USD
DDOG,United States,Technology,Software—Application,645,USD
APGN,,,,0,
ISRG,United States,Healthcare,Medical Instruments & Supplies,1292,USD
AXGN,United States,Healthcare,Medical Devices,1549,USD
DNAY,,,,0,
PBA,Canada,Energy,Oil & Gas Midstream,1218,USD
PRDS,,,,0,
EME,United States,Industrials,Engineering & Construction,1999,USD
TRTX,United States,Real Estate,REIT—Mortgage,969,USD
AGEN,United States,Healthcare,Biotechnology,1765,USD
OREX,,,,0,
SIG,Bermuda,Consumer Cyclical,Luxury Goods,1063,USD
ZIP,United States,Industrials,Staffing & Employment Services,411,USD
ALRS,United States,Financial Services,Banks—Regional,1980,USD
NMIH,United States,Financial Services,Insurance—Specialty,515,USD
TOO,,,,0,
SAN,Spain,Financial Services,Banks—Diversified,1030,USD
APLE,United States,Real Estate,REIT—Hotel & Motel,1032,USD
UMC,Taiwan,Technology,Semiconductors,452,USD
SAIL,,,,0,
CCSI,United States,Technology,Software—Infrastructure,1057,USD
CNCE,,,,0,USD
LYG,United Kingdom,Financial Services,Banks—Regional,1205,USD
AGFY,United States,Industrials,Farm & Heavy Construction Machinery,958,USD
PANW,United States,Technology,Software—Infrastructure,1379,USD
MBII,,,,0,
SM,United States,Energy,Oil & Gas E&P,477,USD
DCTH,United States,Healthcare,Medical Devices,870,USD
CVRR,,,,0,
NGL,United States,Energy,Oil & Gas Midstream,1660,USD
MDXH,Belgium,Healthcare,Diagnostics & Research,1151,USD
MU,United States,Technology,Semiconductors,1379,USD
NEM,United States,Basic Materials,Gold,385,USD
CDXC,United States,Consumer Defensive,Packaged Foods,1348,USD
CYXT,,,,0,USD
TTCF,,,,0,
SRZN,United States,Healthcare,Biotechnology,955,USD
LNSR,United States,Healthcare,Medical Devices,852,USD
TCRX,United States,Healthcare,Biotechnology,1081,USD
SAFE,United States,Real Estate,REIT—Diversified,581,USD
AOS,United States,Industrials,Specialty Industrial Machinery,1506,USD
ARC,United States,Industrials,Specialty Business Services,1235,USD
ARDM,,,,0,
GST,,,,0,
INSP,United States,Healthcare,Medical Devices,628,USD
PNW,United States,Utilities,Utilities—Regulated Electric,666,USD
AON,Ireland,Financial Services,Insurance Brokers,1033,USD
BLI,,,,0,
JMP,,,,0,
CHKP,Israel,Technology,Software—Infrastructure,1514,USD
CZWI,United States,Financial Services,Banks—Regional,862,USD
WSBC,United States,Financial Services,Banks—Regional,1549,USD
VSAT,United States,Technology,Communication Equipment,2200,USD
CULP,United States,Consumer Cyclical,Textile Manufacturing,1081,USD
ISBC,,,,0,
BG,United States,Consumer Defensive,Farm Products,1901,USD
AAWW,,,,0,
EVRI,United States,Consumer Cyclical,Gambling,1954,USD
BAK,Brazil,Basic Materials,Chemicals,1281,USD
IAC,United States,Communication Services,Internet Content & Information,2009,USD
JHG,United Kingdom,Financial Services,Asset Management,603,USD
GNL,United States,Real Estate,REIT—Diversified,371,USD
APLM,United States,Healthcare,Biotechnology,1584,USD
NEXT,United States,Energy,Oil & Gas E&P,631,USD
SXT,United States,Basic Materials,Specialty Chemicals,1226,USD
CHEF,United States,Consumer Defensive,Food Distribution,974,USD
KZR,United States,Healthcare,Biotechnology,842,USD
MRLN,,,,0,
SNDX,United States,Healthcare,Biotechnology,829,USD
STAF,United States,Industrials,Staffing & Employment Services,448,USD
SLRC,United States,Financial Services,Asset Management,2692,USD
EPIX,Canada,Healthcare,Biotechnology,560,USD
BRY,United States,Energy,Oil & Gas E&P,656,USD
ESMT,,,,0,
CALC,United States,Healthcare,Biotechnology,739,USD
APLD,United States,Technology,Information Technology Services,527,USD
CNMD,United States,Healthcare,Medical Devices,1987,USD
SABS,United States,Healthcare,Biotechnology,1240,USD
CARS,United States,Consumer Cyclical,Auto & Truck Dealerships,1172,USD
ARCX,,,,0,
GEO,United States,Industrials,Security & Protection Services,716,USD
DGICA,United States,Financial Services,Insurance—Property & Casualty,1549,USD
LHDX,,,,0,
UMH,United States,Real Estate,REIT—Residential,487,USD
BJ,United States,Consumer Defensive,Discount Stores,607,USD
MSCI,United States,Financial Services,Financial Data & Stock Exchanges,1978,USD
CMG,United States,Consumer Cyclical,Restaurants,483,USD
HMSY,,,,0,
YEXT,United States,Technology,Software—Infrastructure,1123,USD
HYLN,United States,Consumer Cyclical,Auto Parts,300,USD
PFLT,United States,Financial Services,Asset Management,1765,USD
CMBM,United States,Technology,Communication Equipment,1981,USD
LXU,United States,Basic Materials,Chemicals,1451,USD
NOW,United States,Technology,Software—Application,1743,USD
MNTS,United States,Industrials,Aerospace & Defense,366,USD
AUGX,United States,Healthcare,Health Information Services,862,USD
GNK,United States,Industrials,Marine Shipping,466,USD
BMCH,,,,0,
KIDS,United States,Healthcare,Medical Devices,1103,USD
DQ,China,Technology,Semiconductor Equipment & Materials,478,USD
SUPN,United States,Healthcare,Drug Manufacturers—Specialty & Generic,1998,USD
ZIM,Israel,Industrials,Marine Shipping,659,USD
QTS,,,,0,
CSWI,United States,Industrials,Specialty Industrial Machinery,1531,USD
BFST,United States,Financial Services,Banks—Regional,1858,USD
GIS,United States,Consumer Defensive,Packaged Foods,1696,USD
SAFM,,,,0,
BNR,China,Healthcare,Diagnostics & Research,1786,USD
FNHC,,,,0,
MSGS,United States,Communication Services,Entertainment,958,USD
SSBK,United States,Financial Services,Banks—Regional,776,USD
NCR,,,,0,
HMLP,,,,0,
MCS,United States,Communication Services,Entertainment,767,USD
CUBE,United States,Real Estate,REIT—Industrial,720,USD
PLUR,Israel,Healthcare,Biotechnology,1105,USD
CTV,United States,Communication Services,Advertising Agencies,675,USD
DTC,United States,Consumer Cyclical,Internet Retail,825,USD
CPLP,Greece,Industrials,Marine Shipping,768,USD
CCCS,United States,Technology,Software—Infrastructure,979,USD
GNUS,,,,0,
PGY,United States,Technology,Software—Infrastructure,699,USD
LGL,United States,Technology,Electronic Components,1151,USD
RBT,United States,Technology,Software—Application,770,USD
ROIC,United States,Real Estate,REIT—Retail,690,USD
PAYS,United States,Technology,Software—Infrastructure,1029,USD
MLM,United States,Basic Materials,Building Materials,932,USD
LXRX,United States,Healthcare,Biotechnology,737,USD
AQB,United States,Consumer Defensive,Farm Products,697,USD
FRBK,United States,Financial Services,Banks—Regional,708,USD
INAP,,,,0,
IPHA,France,Healthcare,Biotechnology,1414,USD
GBTG,United States,Technology,Software—Application,509,USD
RTEC,,,,0,
KCAP,,,,0,
TTS,,,,0,
BCAL,United States,Financial Services,Banks—Regional,946,USD
FMNB,United States,Financial Services,Banks—Regional,977,USD
SPR,United States,Industrials,Aerospace & Defense,1548,USD
NTRP,United States,Consumer Cyclical,Travel Services,537,USD
XLRN,,,,0,
ERO,Canada,Basic Materials,Copper,572,USD
GLOB,Luxembourg,Technology,Information Technology Services,1553,USD
ANW,,,,0,
QRHC,United States,Industrials,Waste Management,1566,USD
SDHC,United States,Real Estate,Real Estate—Development,389,USD
CYN,United States,Technology,Software—Application,718,USD
ELA,United States,Consumer Cyclical,Luxury Goods,1875,USD
AY,United Kingdom,Utilities,Utilities—Renewable,480,USD
BTG,Canada,Basic Materials,Gold,505,USD
JILL,United States,Consumer Cyclical,Apparel Retail,349,USD
THRY,United States,Communication Services,Internet Content & Information,1468,USD
AMDA,,,,0,
UCBI,United States,Financial Services,Banks—Regional,1611,USD
AVD,United States,Basic Materials,Agricultural Inputs,985,USD
TACT,United States,Technology,Computer Hardware,1441,USD
ANIP,United States,Healthcare,Drug Manufacturers—Specialty & Generic,665,USD
PSTX,United States,Healthcare,Biotechnology,1731,USD
ELOX,United States,Healthcare,Biotechnology,759,USD
MDLZ,United States,Consumer Defensive,Confectioners,1421,USD
MOR,Germany,Healthcare,Biotechnology,1505,USD
ASXC,United States,Healthcare,Medical Devices,982,USD
MO,United States,Consumer Defensive,Tobacco,617,USD
VTVT,United States,Healthcare,Biotechnology,1997,USD
MDRX,United States,Healthcare,Health Information Services,1979,USD
PVL,United States,Energy,Oil & Gas E&P,516,USD
RESN,,,,0,
AQST,United States,Healthcare,Drug Manufacturers—Specialty & Generic,1426,USD
ADTH,United States,Communication Services,Advertising Agencies,796,USD
BDGE,,,,0,
SKYH,United States,Industrials,Aerospace & Defense,239,USD
RPRX,United States,Healthcare,Biotechnology,815,USD
AXL,United States,Consumer Cyclical,Auto Parts,1108,USD
ROAD,United States,Industrials,Engineering & Construction,1214,USD
KBR,United States,Industrials,Engineering & Construction,1645,USD
ADXN,Switzerland,Healthcare,Biotechnology,1323,USD
GRAM,United States,Consumer Defensive,Tobacco,294,USD
PMC,,,,0,
FCEL,United States,Industrials,Electrical Equipment & Parts,1403,USD
VBIV,United States,Healthcare,Biotechnology,975,USD
ASPU,United States,Consumer Defensive,Education & Training Services,484,USD
EDRY,Greece,Industrials,Marine Shipping,598,USD
BWXT,United States,Industrials,Aerospace & Defense,1782,USD
ALIT,United States,Technology,Software—Application,882,USD
DTIL,United States,Healthcare,Biotechnology,1682,USD
RGS,United States,Consumer Cyclical,Personal Services,624,USD
OGS,United States,Utilities,Utilities—Regulated Gas,389,USD
GLYC,United States,Healthcare,Biotechnology,1024,USD
BROG,United Arab Emirates,Energy,Oil & Gas Midstream,645,USD
BEST,China,Industrials,Trucking,1607,USD
ZME,,,,0,
APC,,,,0,
DFS,United States,Financial Services,Credit Services,999,USD
TDW,United States,Energy,Oil & Gas Equipment & Services,1359,USD
STIM,United States,Healthcare,Diagnostics & Research,759,USD
CMI,United States,Industrials,Specialty Industrial Machinery,1941,USD
PFIS,United States,Financial Services,Banks—Regional,1858,USD
RPD,United States,Technology,Software—Infrastructure,1997,USD
CAAS,China,Consumer Cyclical,Auto Parts,1040,USD
MDWD,Israel,Healthcare,Biotechnology,733,USD
ERJ,Brazil,Industrials,Aerospace & Defense,1988,USD
QRVO,United States,Technology,Semiconductors,1235,USD
KNTE,,,,0,
TS,Luxembourg,Energy,Oil & Gas Equipment & Services,895,USD
IGMS,United States,Healthcare,Biotechnology,955,USD
NWN,United States,Utilities,Utilities—Regulated Gas,780,USD
AZPN,United States,Technology,Software—Application,943,USD
JNP,,,,0,
TERN,United States,Healthcare,Biotechnology,825,USD
MOND,United States,Consumer Cyclical,Travel Services,624,USD
VTNR,United States,Energy,Oil & Gas Refining & Marketing,532,USD
RDN,United States,Financial Services,Insurance—Specialty,1721,USD
XOG,,,,0,
NFG,United States,Energy,Oil & Gas Integrated,1148,USD
JBT,United States,Industrials,Specialty Industrial Machinery,1421,USD
ACFC,,,,0,
WEST,United States,Consumer Defensive,Packaged Foods,966,USD
CSTM,France,Basic Materials,Aluminum,1809,USD
DAL,United States,Industrials,Airlines,1091,USD
EMR,United States,Industrials,Specialty Industrial Machinery,2000,USD
MAXN,Singapore,Technology,Solar,490,USD
BGSF,United States,Industrials,Staffing & Employment Services,927,USD
LIND,United States,Consumer Cyclical,Travel Services,1882,USD
ROVR,,,,0,
ZI,United States,Technology,Software—Application,926,USD
GRWG,United States,Consumer Cyclical,Specialty Retail,874,USD
ARQQ,United Kingdom,Technology,Software—Infrastructure,353,USD
CNTY,United States,Consumer Cyclical,Resorts & Casinos,347,USD
TCBK,United States,Financial Services,Banks—Regional,988,USD
BRBR,United States,Consumer Defensive,Packaged Foods,492,USD
IRS,Argentina,Real Estate,Real Estate Services,1132,USD
DFIN,United States,Technology,Software—Application,1885,USD
MED,United States,Consumer Cyclical,Personal Services,585,USD
WSR,United States,Real Estate,REIT—Retail,699,USD
GNLX,United States,Healthcare,Biotechnology,690,USD
MATV,United States,Basic Materials,Specialty Chemicals,1683,USD
IDR,United States,Basic Materials,Gold,899,USD
VIAV,United States,Technology,Communication Equipment,1804,USD
SQ,United States,Technology,Software—Infrastructure,1864,USD
LAKE,United States,Consumer Cyclical,Apparel Manufacturing,1779,USD
CTRN,United States,Consumer Cyclical,Apparel Retail,1071,USD
DLO,Uruguay,Technology,Software—Infrastructure,804,USD
GERN,United States,Healthcare,Biotechnology,581,USD
RF,United States,Financial Services,Banks—Regional,1393,USD
VLDR,,,,0,
DNTH,United States,Healthcare,Biotechnology,477,USD
JP,,,,0,
CTEK,,,,0,
DSX,Greece,Industrials,Marine Shipping,583,USD
SII,Canada,Financial Services,Asset Management,465,USD
CMA,United States,Financial Services,Banks—Regional,1699,USD
OMIC,United States,Healthcare,Medical Instruments & Supplies,704,USD
MGEN,,,,0,
ONCR,,,,0,
MRT,Turkey,Technology,Software—Application,546,USD
ENOV,United States,Industrials,Specialty Industrial Machinery,1378,USD
NMG,Canada,Basic Materials,Other Industrial Metals & Mining,640,USD
TRAW,United States,Healthcare,Biotechnology,1085,USD
AHR,United States,Real Estate,REIT—Healthcare Facilities,1845,USD
RIG,Switzerland,Energy,Oil & Gas Drilling,580,USD
ATXI,United States,Healthcare,Biotechnology,517,USD
DXC,United States,Technology,Information Technology Services,1799,USD
ARQ,United States,Industrials,Pollution & Treatment Controls,658,USD
AME,United States,Industrials,Specialty Industrial Machinery,1979,USD
XOMA,United States,Healthcare,Biotechnology,648,USD
TRDA,United States,Healthcare,Biotechnology,1234,USD
TTEK,United States,Industrials,Engineering & Construction,1567,USD
CHFC,,,,0,
LW,United States,Consumer Defensive,Packaged Foods,976,USD
WUBA,,,,0,
NXTP,United States,Technology,Software—Infrastructure,1754,USD
AVGR,United States,Healthcare,Medical Instruments & Supplies,1084,USD
CMPI,,,,0,
ELY,,,,0,
MD,United States,Healthcare,Medical Care Facilities,1993,USD
JAX,,,,0,
OABI,United States,Healthcare,Biotechnology,1048,USD
KALA,United States,Healthcare,Biotechnology,659,USD
WTRG,United States,Utilities,Utilities—Regulated Water,974,USD
CCCC,United States,Healthcare,Biotechnology,1228,USD
HSKA,,,,0,
PTLO,United States,Consumer Cyclical,Restaurants,441,USD
ONE,,,,0,
DE,United States,Industrials,Farm & Heavy Construction Machinery,1997,USD
FPAY,United States,Industrials,Rental & Leasing Services,790,USD
IRM,United States,Real Estate,REIT—Specialty,684,USD
PRTY,,,,0,
MCRI,United States,Consumer Cyclical,Resorts & Casinos,301,USD
GRAB,Singapore,Technology,Software—Application,430,USD
CVET,,,,0,
CHK,United States,Energy,Oil & Gas E&P,716,USD
ULTA,United States,Consumer Cyclical,Specialty Retail,673,USD
WCG,,,,0,
QTTB,United States,Healthcare,Biotechnology,1180,USD
UAN,United States,Basic Materials,Agricultural Inputs,506,USD
SYN,,,,0,
INVE,United States,Technology,Computer Hardware,1027,USD
FXNC,United States,Financial Services,Banks—Regional,1645,USD
STXS,United States,Healthcare,Medical Instruments & Supplies,1462,USD
MSCC,,,,0,
SAP,Germany,Technology,Software—Application,1461,USD
FBM,,,,0,
UTZ,United States,Consumer Defensive,Packaged Foods,734,USD
AUST,Canada,Basic Materials,Gold,756,USD
FLO,United States,Consumer Defensive,Packaged Foods,1106,USD
TLK,Indonesia,Communication Services,Telecom Services,1484,USD
REAX,United States,Real Estate,Real Estate Services,324,USD
IRET,,,,363,USD
ALX,United States,Real Estate,REIT—Retail,455,USD
KAR,United States,Consumer Cyclical,Auto & Truck Dealerships,1258,USD
TRIN,United States,Financial Services,Credit Services,301,USD
LI,China,Consumer Cyclical,Auto Manufacturers,657,USD
T,United States,Communication Services,Telecom Services,1454,USD
FRLN,,,,0,
MLSS,United States,Healthcare,Medical Instruments & Supplies,1256,USD
MXL,United States,Technology,Semiconductors,1078,USD
VMD,United States,Healthcare,Medical Devices,1179,USD
CGRN,,,,0,
UE,United States,Real Estate,REIT—Retail,319,USD
ANY,United States,Technology,Software—Application,206,USD
CVRS,,,,0,
FOSL,United States,Consumer Cyclical,Footwear & Accessories,1168,USD
DNB,United States,Financial Services,Financial Data & Stock Exchanges,1966,USD
LRFC,United States,Financial Services,Asset Management,866,USD
Q,,,,0,
AWH,United States,Healthcare,Diagnostics & Research,1879,USD
VVNT,,,,0,
RXN,,,,0,
GAME,United States,Communication Services,Electronic Gaming & Multimedia,823,USD
MANU,United Kingdom,Communication Services,Entertainment,1383,USD
AVY,United States,Consumer Cyclical,Packaging & Containers,1988,USD
EVLO,United States,Healthcare,Biotechnology,788,USD
HNVR,United States,Financial Services,Banks—Regional,927,USD
POWL,United States,Industrials,Electrical Equipment & Parts,1319,USD
PROG,,,,0,
BKU,United States,Financial Services,Banks—Regional,1292,USD
NTAP,United States,Technology,Computer Hardware,1709,USD
WIX,Israel,Technology,Software—Infrastructure,1343,USD
AQXP,,,,0,
OGN,United States,Healthcare,Drug Manufacturers—General,1987,USD
SPRO,United States,Healthcare,Biotechnology,1245,USD
OPNT,,,,0,
DNBF,,,,0,
CSCO,United States,Technology,Communication Equipment,1895,USD
GASS,Greece,Industrials,Marine Shipping,635,USD
CTWS,,,,0,
WALD,United States,Consumer Defensive,Household & Personal Products,816,USD
RHI,United States,Industrials,Staffing & Employment Services,1220,USD
MSC,Hong Kong,Consumer Cyclical,Resorts & Casinos,786,USD
DGII,United States,Technology,Communication Equipment,1983,USD
RWLK,,,,0,
LAD,United States,Consumer Cyclical,Auto & Truck Dealerships,658,USD
RH,United States,Consumer Cyclical,Specialty Retail,724,USD
GENI,United Kingdom,Communication Services,Internet Content & Information,1282,USD
BCR,,,,0,
INPX,,,,0,
RMGN,,,,0,
TRMR,,,,0,
NEX,,,,0,
BDSX,United States,Healthcare,Diagnostics & Research,1435,USD
KBH,United States,Consumer Cyclical,Residential Construction,854,USD
CYBE,,,,0,
UFS,,,,0,
MTA,Canada,Basic Materials,Other Precious Metals & Mining,559,USD
SRNE,United States,Healthcare,Biotechnology,2091,USD
VLO,United States,Energy,Oil & Gas Refining & Marketing,1364,USD
AFMD,Germany,Healthcare,Biotechnology,1426,USD
NMRD,United States,Healthcare,Medical Devices,572,USD
YTRA,India,Consumer Cyclical,Travel Services,1164,USD
HUM,United States,Healthcare,Healthcare Plans,1470,USD
XELA,United States,Technology,Software—Application,2043,USD
MSI,United States,Technology,Communication Equipment,1754,USD
RNN,,,,0,
J,United States,Industrials,Engineering & Construction,1130,USD
CIDM,,,,0,
MDCO,,,,0,
IMO,Canada,Energy,Oil & Gas Integrated,1492,USD
HIBB,United States,Consumer Cyclical,Apparel Retail,502,USD
ANCX,,,,0,
CRH,Ireland,Basic Materials,Building Materials,1882,USD
ENTL,,,,0,
NSU,,,,0,
SPKE,,,,0,
FENC,United States,Healthcare,Biotechnology,596,USD
INDO,Indonesia,Energy,Oil & Gas E&P,597,USD
BUFF,,,,453,USD
ATRC,United States,Healthcare,Medical Instruments & Supplies,1736,USD
SBGI,United States,Communication Services,Entertainment,1507,USD
ET,United States,Energy,Oil & Gas Midstream,1846,USD
DFRG,,,,0,
NVAX,United States,Healthcare,Biotechnology,885,USD
TUYA,China,Technology,Software—Infrastructure,1369,USD
LANC,United States,Consumer Defensive,Packaged Foods,1024,USD
RMED,,,,0,
ATSG,United States,Industrials,Airlines,1837,USD
HOLI,China,Industrials,Electrical Equipment & Parts,1861,USD
LBRDA,United States,Communication Services,Telecom Services,1343,USD
SNAL,United States,Communication Services,Electronic Gaming & Multimedia,455,USD
SEAS,,,,0,
SPGI,United States,Financial Services,Financial Data & Stock Exchanges,1661,USD
XXII,United States,Consumer Defensive,Tobacco,468,USD
CVNA,United States,Consumer Cyclical,Auto & Truck Dealerships,501,USD
ARCE,,,,0,
LVO,United States,Communication Services,Entertainment,1506,USD
RIGL,United States,Healthcare,Biotechnology,1693,USD
GSAT,United States,Communication Services,Telecom Services,1633,USD
UCFC,,,,0,
PRCH,United States,Technology,Software—Application,942,USD
BOCH,,,,0,
RCUS,United States,Healthcare,Biotechnology,1434,USD
AHT,United States,Real Estate,REIT—Hotel & Motel,894,USD
CNFR,United States,Financial Services,Insurance—Property & Casualty,1432,USD
IO,,,,0,
JOBS,,,,0,
FUV,United States,Consumer Cyclical,Recreational Vehicles,952,USD
PRU,United States,Financial Services,Insurance—Life,1856,USD
SLAB,United States,Technology,Semiconductors,1495,USD
RARE,United States,Healthcare,Biotechnology,1864,USD
APTS,,,,0,
BBBY,,,,0,
RAVN,,,,0,
HHS,United States,Industrials,Conglomerates,1986,USD
ICCM,Israel,Healthcare,Medical Devices,677,USD
CM,Canada,Financial Services,Banks—Diversified,961,USD
RGA,United States,Financial Services,Insurance—Reinsurance,932,USD
NOG,United States,Energy,Oil & Gas E&P,370,USD
GTYH,,,,0,
SHLT,Israel,Healthcare,Health Information Services,1427,USD
BC,United States,Consumer Cyclical,Recreational Vehicles,1945,USD
CCBG,United States,Financial Services,Banks—Regional,1798,USD
KNBE,,,,0,
VTS,United States,Energy,Oil & Gas E&P,522,USD
PDSB,United States,Healthcare,Biotechnology,1608,USD
TEX,United States,Industrials,Farm & Heavy Construction Machinery,2000,USD
AHL,,,,0,
STVN,Italy,Healthcare,Medical Instruments & Supplies,723,USD
TRU,United States,Industrials,Consulting Services,1452,USD
FN,Cayman Islands,Technology,Electronic Components,1940,USD
MSP,,,,0,
ARVN,United States,Healthcare,Biotechnology,1098,USD
PRPH,United States,Healthcare,Diagnostics & Research,1087,USD
SGTX,,,,0,
ALCO,United States,Consumer Defensive,Farm Products,1000,USD
MIXT,,,,0,
NGD,Canada,Basic Materials,Gold,416,USD
EBF,United States,Industrials,Business Equipment & Supplies,1977,USD
KRC,United States,Real Estate,REIT—Office,1466,USD
MPO,,,,0,
WTTR,United States,Basic Materials,Specialty Chemicals,1953,USD
BSMX,,,,0,
GPX,,,,0,
MDXG,United States,Healthcare,Biotechnology,1338,USD
TLP,,,,0,
CALX,United States,Technology,Software—Infrastructure,1740,USD
ATO,United States,Utilities,Utilities—Regulated Gas,1027,USD
GANX,United States,Healthcare,Biotechnology,861,USD
FFIE,United States,Consumer Cyclical,Auto Manufacturers,448,USD
MRC,United States,Energy,Oil & Gas Equipment & Services,1639,USD
FEMY,United States,Healthcare,Medical Instruments & Supplies,1139,USD
LNG,United States,Energy,Oil & Gas Midstream,810,USD
TEN,Greece,Energy,Oil & Gas Midstream,600,USD
MDVL,,,,0,
ESV,,,,0,
ALGM,United States,Technology,Semiconductors,943,USD
MARA,United States,Financial Services,Capital Markets,403,USD
PIH,,,,0,
JCP,,,,0,
CP,Canada,Industrials,Railroads,842,USD
XPL,United States,Basic Materials,Other Industrial Metals & Mining,735,USD
REGI,,,,0,USD
FNV,Canada,Basic Materials,Gold,538,USD
VINC,United States,Healthcare,Biotechnology,912,USD
JOE,United States,Real Estate,Real Estate—Diversified,1393,USD
HRC,,,,0,
VLRS,Mexico,Industrials,Airlines,759,USD
TME,China,Communication Services,Internet Content & Information,1488,USD
BCC,United States,Basic Materials,Building Materials,1235,USD
SYK,United States,Healthcare,Medical Devices,1868,USD
TNP,Greece,Energy,Oil & Gas Midstream,600,USD
WAT,United States,Healthcare,Diagnostics & Research,1536,USD
BWMX,Mexico,Consumer Cyclical,Specialty Retail,830,USD
SHO,United States,Real Estate,REIT—Hotel & Motel,395,USD
HRTX,United States,Healthcare,Biotechnology,1578,USD
CC,United States,Basic Materials,Specialty Chemicals,1372,USD
DBX,United States,Technology,Software—Infrastructure,615,USD
XCUR,United States,Healthcare,Biotechnology,254,USD
CONE,,,,0,
MASI,United States,Healthcare,Medical Devices,1818,USD
INVZ,Israel,Consumer Cyclical,Auto Parts,963,USD
BYSI,United States,Healthcare,Biotechnology,1446,USD
SUMR,,,,0,
PRST,United States,Technology,Software—Application,686,USD
TTC,United States,Industrials,Tools & Accessories,1999,USD
AOUT,United States,Consumer Cyclical,Leisure,1570,USD
OPI,United States,Real Estate,REIT—Office,798,USD
ABTX,,,,0,
LM,,,,0,
TRP,Canada,Energy,Oil & Gas Midstream,1334,USD
ONON,Switzerland,Consumer Cyclical,Footwear & Accessories,399,USD
PAA,United States,Energy,Oil & Gas Midstream,1105,USD
DYN,United States,Healthcare,Biotechnology,618,USD
TIME,,,,498,USD
CA,,,,365,USD
RCRT,United States,Industrials,Staffing & Employment Services,896,USD
O,United States,Real Estate,REIT—Retail,762,USD
NECB,United States,Financial Services,Banks—Regional,1376,USD
FORR,United States,Industrials,Consulting Services,1505,USD
WRN,Canada,Basic Materials,Other Industrial Metals & Mining,609,USD
CRDL,Canada,Healthcare,Drug Manufacturers—Specialty & Generic,721,USD
FFIV,United States,Technology,Software—Infrastructure,1496,USD
RM,United States,Financial Services,Credit Services,903,USD
WLTW,,,,0,
LYB,United States,Basic Materials,Specialty Chemicals,1333,USD
OXSQ,United States,Financial Services,Asset Management,1275,USD
BBDC,United States,Financial Services,Asset Management,964,USD
HNP,,,,0,
MLEC,Luxembourg,Healthcare,Biotechnology,458,USD
BCSF,United States,Financial Services,Asset Management,531,USD
BAND,United States,Technology,Software—Infrastructure,1775,USD
PARA,United States,Communication Services,Entertainment,1853,USD
COUP,,,,0,
STRR,United States,Healthcare,Diagnostics & Research,631,USD
POOL,United States,Industrials,Industrial Distribution,1603,USD
CRHM,,,,0,
RIOT,United States,Financial Services,Capital Markets,1039,USD
USM,United States,Communication Services,Telecom Services,1223,USD
DRS,United States,Industrials,Aerospace & Defense,1998,USD
AMC,United States,Communication Services,Entertainment,260,USD
PHVS,Netherlands,Healthcare,Biotechnology,689,USD
CBTX,,,,0,
MCBS,United States,Financial Services,Banks—Regional,1343,USD
CLDX,United States,Healthcare,Biotechnology,626,USD
CSS,,,,0,
XPO,United States,Industrials,Trucking,1130,USD
UROY,Canada,Energy,Uranium,826,USD
SPNS,Israel,Technology,Software—Application,1288,USD
INZY,United States,Healthcare,Biotechnology,615,USD
RDBX,,,,0,
BRCC,United States,Consumer Defensive,Packaged Foods,587,USD
PFC,United States,Financial Services,Banks—Regional,1258,USD
SPRC,Israel,Healthcare,Biotechnology,1043,USD
GRTX,United States,Healthcare,Biotechnology,825,USD
CYTH,United States,Healthcare,Drug Manufacturers—Specialty & Generic,816,USD
PFE,United States,Healthcare,Drug Manufacturers—General,1773,USD
SCPH,United States,Healthcare,Biotechnology,1255,USD
KVHI,United States,Technology,Communication Equipment,1889,USD
SMBK,United States,Financial Services,Banks—Regional,1198,USD
MREO,United Kingdom,Healthcare,Biotechnology,1536,USD
BIRD,United States,Consumer Cyclical,Apparel Retail,521,USD
CORR,,,,0,
RY,Canada,Financial Services,Banks—Diversified,1769,USD
SLCA,United States,Energy,Oil & Gas Equipment & Services,1209,USD
ARI,United States,Real Estate,REIT—Mortgage,625,USD
VDSI,,,,0,
CAPL,United States,Energy,Oil & Gas Refining & Marketing,894,USD
JBGS,United States,Real Estate,REIT—Office,1148,USD
EMBC,United States,Healthcare,Medical Instruments & Supplies,508,USD
ARIS,United States,Utilities,Utilities—Regulated Water,494,USD
UNT,,,,0,
WATT,United States,Technology,Scientific & Technical Instruments,923,USD
MCB,United States,Financial Services,Banks—Regional,1198,USD
VVX,United States,Industrials,Aerospace & Defense,366,USD
NGS,United States,Energy,Oil & Gas Equipment & Services,1148,USD
RMR,United States,Real Estate,Real Estate Services,591,USD
PDD,Ireland,Consumer Cyclical,Internet Retail,708,USD
TYGO,United States,Technology,Solar,1115,USD
HSAI,China,Consumer Cyclical,Auto Parts,768,USD
ORIT,,,,0,
MVST,United States,Industrials,Electrical Equipment & Parts,823,USD
L,United States,Financial Services,Insurance—Property & Casualty,1791,USD
INTZ,United States,Technology,Software—Infrastructure,1249,USD
TPRE,,,,0,
STRL,United States,Industrials,Engineering & Construction,1348,USD
